ENSEMBL	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Case1	Case2	Case3	Case4	Case5	Case6	Case7	Case8
ENSG00000119283	14	18	24	57	33	61	41	205	31	24	12	27	40	38	27	25
ENSG00000116191	18	36	11	31	73	56	29	84	67	83	45	39	50	496	88	67
ENSG00000254685	14	8	6	12	13	23	2	10	37	53	15	10	16	28	77	18
ENSG00000177144	0	1	0	2	0	0	0	1	1	7	1	1	1	1	4	1
ENSG00000162398	13	18	19	36	18	31	10	82	14	14	30	16	8	12	29	20
ENSG00000132196	25	13	5	27	51	59	24	62	66	56	30	23	34	48	51	63
ENSG00000163125	106	118	97	274	268	143	50	164	135	197	71	51	76	216	178	118
ENSG00000271383	0	1	0	2	5	6	2	15	9	4	1	1	1	2	6	0
ENSG00000205116	18	3	8	7	19	59	19	64	9	23	6	7	7	7	20	16
ENSG00000117481	75	84	70	218	153	182	68	243	77	119	61	44	102	122	115	96
ENSG00000196944	7	2	1	3	17	22	1	18	25	20	4	9	6	11	15	16
ENSG00000172410	2	2	0	5	4	1	0	5	1	4	0	0	3	5	9	3
ENSG00000116996	10	7	5	8	13	39	10	29	17	14	13	13	6	5	8	19
ENSG00000196418	22	18	16	23	46	38	17	59	39	46	21	24	27	46	58	49
ENSG00000186440	16	20	2	23	9	22	2	10	9	7	10	7	7	9	8	4
ENSG00000232237	9	5	3	3	6	12	22	37	5	5	6	7	1	7	2	4
ENSG00000196427	3	5	4	8	6	18	3	12	7	11	4	9	7	2	10	6
ENSG00000263513	1	1	0	0	4	3	2	4	3	25	1	4	2	2	1	1
ENSG00000143393	118	35	61	107	264	97	87	273	164	406	108	59	87	363	357	117
ENSG00000197241	37	22	64	59	42	51	65	190	26	29	10	26	25	46	28	33
ENSG00000196171	9	4	1	9	14	10	4	10	6	5	1	2	7	4	8	10
ENSG00000187170	0	13	3	2	9	9	5	12	28	13	7	7	3	5	15	16
ENSG00000160789	125	76	103	96	299	217	86	318	272	616	80	88	94	298	311	169
ENSG00000127603	424	331	248	629	733	641	393	1000	710	638	442	338	374	937	1464	671
ENSG00000226029	8	3	26	14	28	11	23	51	13	11	12	7	15	11	18	12
ENSG00000080947	38	18	39	82	58	32	44	152	49	39	53	30	33	56	68	25
ENSG00000206652	0	3	3	9	5	6	1	3	0	2	3	6	5	3	2	5
ENSG00000261135	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000285853	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	1
ENSG00000224174	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233421	2	3	0	6	5	16	2	14	4	6	1	3	4	3	6	5
ENSG00000277344	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
ENSG00000225710	1	2	0	0	1	1	1	6	1	2	1	0	1	1	1	1
ENSG00000219481	97	105	64	70	218	462	117	604	456	370	200	236	168	248	491	311
ENSG00000271732	1	1	6	7	3	8	2	9	6	1	0	4	6	16	0	6
ENSG00000215908	166	56	181	168	166	145	243	622	170	467	110	103	123	465	231	179
